wavelength,healthy_mean,healthy_std,healthy_median,healthy_min,healthy_max,cracked_mean,cracked_std,cracked_median,cracked_min,cracked_max,n_healthy,n_cracked,abs_mean_diff,cohens_d,fisher_score,relative_diff_pct
519.250000,0.155893,0.116581,0.124788,0.031941,5.691617,0.090532,0.066336,0.076167,0.015169,1.010499,69618,24548,0.065361,0.617738,0.237451,53.047393
522.180000,0.157322,0.115699,0.125000,0.032407,5.319387,0.089995,0.066013,0.074899,0.015385,0.981572,69618,24548,0.067327,0.640991,0.255466,54.446172
525.100000,0.158390,0.114849,0.125392,0.028634,5.036746,0.089552,0.065813,0.074246,0.015674,0.972158,69618,24548,0.068838,0.659928,0.270448,55.527876
528.030000,0.159856,0.114267,0.126010,0.027897,4.868354,0.089688,0.065475,0.074514,0.015291,0.960674,69618,24548,0.070168,0.676108,0.283878,56.237002
530.960000,0.160986,0.113710,0.126738,0.029046,4.671932,0.089643,0.065306,0.073892,0.014808,0.942641,69618,24548,0.071343,0.690631,0.296008,56.931098
533.890000,0.162193,0.113374,0.127789,0.030426,4.529965,0.089782,0.065109,0.073810,0.015399,0.932773,69618,24548,0.072411,0.703050,0.306755,57.474421
536.820000,0.163657,0.113237,0.128806,0.030303,4.449711,0.090190,0.065058,0.074037,0.015253,0.928497,69618,24548,0.073467,0.714134,0.316465,57.882885
539.750000,0.165197,0.113247,0.130130,0.030488,4.423963,0.090723,0.065067,0.074468,0.015238,0.910124,69618,24548,0.074474,0.723855,0.325135,58.201188
542.680000,0.167026,0.113464,0.131657,0.032587,4.386025,0.091561,0.065118,0.075356,0.015209,0.902364,69618,24548,0.075465,0.732171,0.332757,58.367006
545.620000,0.168810,0.113774,0.133267,0.028283,4.305962,0.092283,0.065322,0.075758,0.015888,0.897074,69618,24548,0.076527,0.740423,0.340260,58.620382
548.550000,0.170835,0.114089,0.134907,0.031847,4.238674,0.093092,0.065648,0.076313,0.014760,0.885799,69618,24548,0.077743,0.749941,0.348842,58.912596
551.490000,0.172950,0.114212,0.136842,0.033473,4.164309,0.094056,0.065924,0.077419,0.014599,0.882353,69618,24548,0.078894,0.759973,0.357915,59.095098
554.430000,0.175244,0.114498,0.139216,0.033264,4.137446,0.095125,0.066192,0.078603,0.016334,0.871595,69618,24548,0.080119,0.769717,0.366987,59.266445
